d[4,59] = 3; PATH: 4-51-9-59
d[4,60] = 2; PATH: 4-64-60
d[4,61] = 2; PATH: 4-69-61
d[4,62] = 2; PATH: 4-39-62
d[4,63] = 3; PATH: 4-1-63
d[4,64] = 1; PATH: 4-64
d[4,65] = 3; PATH: 4-51-9-65
d[4,66] = 2; PATH: 4-66
d[4,67] = 2; PATH: 4-73-67
d[4,68] = 3; PATH: 4-51-18-68
d[4,69] = 1; PATH: 4-69
d[4,70] = 3; PATH: 4-3-70
d[4,71] = 2; PATH: 4-73-71
d[4,72] = 2; PATH: 4-72
d[4,73] = 1; PATH: 4-73
d[4,74] = 2; PATH: 4-1-74
d[4,75] = 2; PATH: 4-69-75
d[4,76] = 2; PATH: 4-73-76
d[4,77] = 2; PATH: 4-77
d[4,78] = 3; PATH: 4-7-78
d[4,79] = 3; PATH: 4-1-79
d[4,80] = 3; PATH: 4-40-6-80
d[4,81] = 2; PATH: 4-69-81
d[4,82] = 2; PATH: 4-40-82
d[4,83] = 3; PATH: 4-39-25-83
d[4,84] = 3; PATH: 4-7-84
d[4,85] = 2; PATH: 4-64-85
d[4,86] = 3; PATH: 4-39-25-86
d[4,87] = 3; PATH: 4-7-87
d[4,88] = 3; PATH: 4-39-88
d[4,89] = 3; PATH: 4-51-37-89
d[4,90] = 3; PATH: 4-3-90
d[4,91] = 2; PATH: 4-40-91
d[4,92] = 2; PATH: 4-92
d[4,93] = 3; PATH: 4-64-85-93
d[4,94] = 3; PATH: 4-39-94
d[4,95] = 3; PATH: 4-69-54-95
d[4,96] = 2; PATH: 4-39-96
d[4,97] = 3; PATH: 4-40-5-97
d[4,98] = 3; PATH: 4-1-22-98
d[4,99] = 2; PATH: 4-1-99
d[4,100] = 3; PATH: 4-39-100
d[5,1] = 3; PATH: 5-10-1
d[5,2] = 2; PATH: 5-2
d[5,3] = 3; PATH: 5-10-3
d[5,4] = 3; PATH: 5-2-4
d[5,6] = 3; PATH: 5-10-6
d[5,7] = 3; PATH: 5-34-7
d[5,8] = 2; PATH: 5-60-8
d[5,9] = 3; PATH: 5-39-9
d[5,10] = 1; PATH: 5-10
d[5,11] = 3; PATH: 5-34-32-11
d[5,12] = 2; PATH: 5-10-12
d[5,13] = 2; PATH: 5-34-13
d[5,14] = 3; PATH: 5-25-28-14
d[5,15] = 3; PATH: 5-34-46-15
d[5,16] = 2; PATH: 5-91-16
d[5,17] = 3; PATH: 5-25-17
d[5,18] = 3; PATH: 5-18
d[5,19] = 3; PATH: 5-2-19
d[5,20] = 3; PATH: 5-10-29-20
d[5,21] = 2; PATH: 5-42-21
d[5,22] = 2; PATH: 5-25-22
d[5,23] = 2; PATH: 5-42-23
d[5,24] = 3; PATH: 5-10-12-24
d[5,25] = 1; PATH: 5-25
d[5,26] = 2; PATH: 5-91-26
d[5,27] = 3; PATH: 5-25-27
d[5,28] = 2; PATH: 5-25-28
d[5,29] = 2; PATH: 5-10-29
d[5,30] = 2; PATH: 5-30
d[5,31] = 3; PATH: 5-25-22-31
d[5,32] = 2; PATH: 5-34-32
d[5,33] = 2; PATH: 5-33
d[5,34] = 1; PATH: 5-34
d[5,35] = 2; PATH: 5-97-35
d[5,36] = 3; PATH: 5-10-83-36
d[5,37] = 3; PATH: 5-34-37
d[5,38] = 2; PATH: 5-42-38
d[5,39] = 1; PATH: 5-39
d[5,40] = 2; PATH: 5-42-40
d[5,41] = 2; PATH: 5-34-41
d[5,42] = 1; PATH: 5-42
d[5,43] = 2; PATH: 5-60-43
d[5,44] = 2; PATH: 5-42-44
d[5,45] = 2; PATH: 5-25-45
d[5,46] = 2; PATH: 5-34-46
d[5,47] = 2; PATH: 5-47
d[5,48] = 3; PATH: 5-42-48
d[5,49] = 3; PATH: 5-42-49
d[5,50] = 3; PATH: 5-34-32-50
d[5,51] = 3; PATH: 5-42-23-51
d[5,52] = 3; PATH: 5-39-52
d[5,53] = 3; PATH: 5-33-53
d[5,54] = 3; PATH: 5-25-22-54
d[5,55] = 3; PATH: 5-39-55
d[5,56] = 2; PATH: 5-66-56
d[5,57] = 2; PATH: 5-66-57
d[5,58] = 2; PATH: 5-10-58
d[5,59] = 2; PATH: 5-59
d[5,60] = 1; PATH: 5-60
d[5,61] = 3; PATH: 5-69-61
d[5,62] = 2; PATH: 5-39-62
d[5,63] = 2; PATH: 5-66-63
d[5,64] = 2; PATH: 5-25-64
d[5,65] = 3; PATH: 5-10-29-65
d[5,66] = 1; PATH: 5-66
d[5,67] = 2; PATH: 5-91-67
d[5,68] = 3; PATH: 5-42-21-68
d[5,69] = 2; PATH: 5-69
d[5,70] = 3; PATH: 5-10-12-70
d[5,71] = 2; PATH: 5-25-71
d[5,72] = 2; PATH: 5-72
d[5,73] = 3; PATH: 5-60-43-73
d[5,74] = 3; PATH: 5-25-74
d[5,75] = 2; PATH: 5-34-75
d[5,76] = 2; PATH: 5-34-76
d[5,77] = 3; PATH: 5-10-12-77
d[5,78] = 3; PATH: 5-33-78
d[5,79] = 2; PATH: 5-34-79
