d[4,46] = 3; PATH: 4-30-46
d[4,47] = 2; PATH: 4-84-47
d[4,48] = 2; PATH: 4-135-48
d[4,49] = 2; PATH: 4-15-49
d[4,50] = 2; PATH: 4-76-50
d[4,51] = 2; PATH: 4-134-51
d[4,52] = 3; PATH: 4-39-52
d[4,53] = 2; PATH: 4-15-53
d[4,54] = 2; PATH: 4-134-54
d[4,55] = 2; PATH: 4-30-55
d[4,56] = 2; PATH: 4-56
d[4,57] = 3; PATH: 4-16-57
d[4,58] = 2; PATH: 4-135-58
d[4,59] = 3; PATH: 4-21-59
d[4,60] = 2; PATH: 4-88-60
d[4,61] = 3; PATH: 4-37-61
d[4,62] = 2; PATH: 4-96-62
d[4,63] = 2; PATH: 4-30-63
d[4,64] = 2; PATH: 4-173-64
d[4,65] = 2; PATH: 4-39-65
d[4,66] = 2; PATH: 4-161-66
d[4,67] = 2; PATH: 4-15-67
d[4,68] = 3; PATH: 4-39-87-68
d[4,69] = 2; PATH: 4-134-69
d[4,70] = 2; PATH: 4-146-70
d[4,71] = 3; PATH: 4-16-71
d[4,72] = 3; PATH: 4-30-72
d[4,73] = 2; PATH: 4-73
d[4,74] = 2; PATH: 4-84-74
d[4,75] = 2; PATH: 4-88-75
